cmplid	oidno	mfr	make	model	year	crash	faildate	fire	injured	deaths	component	city	state	vin	dateadded	daterec	mileage	occurances	complaint	cmpl_type	police	datepurch	origowner	albrakes	cruise	cyls	drivetrain	fuelsys	fuel	trans	speed	dot	tiresize	tireloc	tirefailtype	origequip	mfrdate	seattype	restraint	dlrname	dlrphone	dlrcity	dlrstate	dlrzip	prodtype	repaired	medattn	NHTSA	forumtitle	forumurl	forumuser	forumcomment
168978	844272	GENERAL MOTORS LLC	CHEVROLET	CORVETTE	1998	N	20190728	N			ENGINE AND ENGINE COOLING:ENGINE:GASOLINE	LIVINGSTON	NJ	1G1YY32G1W5	19990804	19990804			ENGINE  CHECK  LIGHT COMES ON/  STEERING WHEEL COLUMN LOCKS UP, AND VEHICLE STALLS UNEXPECTEDLY.  CURRENTLY AT THE DEALERS.  PLEASE PROVIDE FURTHER INFORMATION.  *AK   REF. IN EA02-031 *CJS  CONSUMER WAS ABLE TO MOVE VEHICLE ABOUT 1 FT.	EVOQ	N		Y	N	N					AUTO	0														V			NHTSA				
168979	844272	GENERAL MOTORS LLC	CHEVROLET	CORVETTE	1998	N	20190728	N			UNKNOWN OR OTHER	LIVINGSTON	NJ	1G1YY32G1W5	19990804	19990804			ENGINE  CHECK  LIGHT COMES ON/  STEERING WHEEL COLUMN LOCKS UP, AND VEHICLE STALLS UNEXPECTEDLY.  CURRENTLY AT THE DEALERS.  PLEASE PROVIDE FURTHER INFORMATION.  *AK   REF. IN EA02-031 *CJS  CONSUMER WAS ABLE TO MOVE VEHICLE ABOUT 1 FT.	EVOQ	N		Y	N	N					AUTO	0														V			NHTSA				
169010	844272	GENERAL MOTORS LLC	CHEVROLET	CORVETTE	1998	N	20190728	N			STEERING:WHEEL AND HANDLE BAR	LIVINGSTON	NJ	1G1YY32G1W5	19990804	19990804			ENGINE  CHECK  LIGHT COMES ON/  STEERING WHEEL COLUMN LOCKS UP, AND VEHICLE STALLS UNEXPECTEDLY.  CURRENTLY AT THE DEALERS.  PLEASE PROVIDE FURTHER INFORMATION.  *AK   REF. IN EA02-031 *CJS  CONSUMER WAS ABLE TO MOVE VEHICLE ABOUT 1 FT.	EVOQ	N		Y	N	N					AUTO	0														V			NHTSA				
185539	851144	FORD MOTOR COMPANY	FORD	EXPEDITION	2008	Y	20091102	N			VISIBILITY:POWER WINDOW DEVICES AND CONTROLS	LANHAM	MD	1FMFU18518L	19991019	20100330		1	EXPERIENCED PROBLEM WITH POWER WINDOWS FAILING TO OPERATE WHENEVER VEHICLE WAS IN DIRECT SUNLIGHT ( 90 DEGREE OR MORE) WITH ALL WINDOWS CLOSED. TWO DEALERS WERE NOTIFIED AND NOTHING COULD BE FOUND BECAUSE BY THE TIME CONSUMER GOT TO THE DEALER THE WINDOWS  WERE WORKING PROPERLY. SEEKING HELP FROM NHTSA IN THIS MATTER.*AK   REPLACED MAIN POWER WINDOW SWITCH ON DRIVER SIDE ON 5-26-00.  *YH  ACCORDING TO THE POLICE REPORT,  THE CONSUMER ENTERED THE VEHICLE, PLACED THE VEHICLE INTO REVERSE, WHEN SUDDENLY THE VEHICLE ACCELERATED BACKWARDS IN A CLOCKWISE DIRECTION. DURING THE REVERSE MOVEMENT, THE CONSUMER STRUCK THE LEFT FRONT OF ANOTHER VEHICLE AND HIT A PEDESTRIAN WHO WAS ULTIMATELY KILLED. UPDATED 04/06/10    	LETR	Y		Y	Y	Y	8	RWD	FI	GS	AUTO															V			NHTSA				
185540	851144	FORD MOTOR COMPANY	FORD	EXPEDITION	2008	Y	20091102	N			VEHICLE SPEED CONTROL	LANHAM	MD	1FMFU18518L	19991019	20100330		1	EXPERIENCED PROBLEM WITH POWER WINDOWS FAILING TO OPERATE WHENEVER VEHICLE WAS IN DIRECT SUNLIGHT ( 90 DEGREE OR MORE) WITH ALL WINDOWS CLOSED. TWO DEALERS WERE NOTIFIED AND NOTHING COULD BE FOUND BECAUSE BY THE TIME CONSUMER GOT TO THE DEALER THE WINDOWS  WERE WORKING PROPERLY. SEEKING HELP FROM NHTSA IN THIS MATTER.*AK   REPLACED MAIN POWER WINDOW SWITCH ON DRIVER SIDE ON 5-26-00.  *YH  ACCORDING TO THE POLICE REPORT,  THE CONSUMER ENTERED THE VEHICLE, PLACED THE VEHICLE INTO REVERSE, WHEN SUDDENLY THE VEHICLE ACCELERATED BACKWARDS IN A CLOCKWISE DIRECTION. DURING THE REVERSE MOVEMENT, THE CONSUMER STRUCK THE LEFT FRONT OF ANOTHER VEHICLE AND HIT A PEDESTRIAN WHO WAS ULTIMATELY KILLED. UPDATED 04/06/10    	LETR	Y		Y	Y	Y	8	RWD	FI	GS	AUTO															V			NHTSA				
197998	716716	GENERAL MOTORS LLC	CHEVROLET	TAHOE	1997		20000101	N	0	0	VEHICLE SPEED CONTROL	CONYERS	GA	1GNEC13R3VJ	20000101	20000101		10	PROBLEM WITH STEERING..MOMENTARY LOSS OF STEERING,SEEMS TO SLIP THEN CATCH.SERVICE DEPT ADVISED KNOWN PROBLEM WITH SPEED SENSOR.NO FACTORY RECALL.COST $250.00 TO REPLACE. *AK	IVOQ	N	19980601	N	Y	Y		RWD	F	GS		45														V			NHTSA				
198011	716705	TOYOTA MOTOR NORTH AMERICA, INC.	LEXUS	ES300	1993		20000101	N			ELECTRICAL SYSTEM:IGNITION	ALBUQUERQUE	NM	JT8VK13T0P0	20000101	20000101		1	I BELIEVE THE SECURITY SYSTEM AND IGNITION FAILED BECAUSE OF A Y2K FAILURE.  THE CAR WILL NOT START WAS WORKING PROPERLY AT LEAST 4 HOURS PRIOR TO TRYING TO START AFTER 1200 MIDNIGHT ON THE 1 JAN 2000.  *AK	IVOQ	N	19921101	N	Y	Y		FWD	F	GS																V			NHTSA				
198012	716705	TOYOTA MOTOR NORTH AMERICA, INC.	LEXUS	ES300	1993		20000101	N			ELECTRICAL SYSTEM:IGNITION:ANTI-THEFT CONTROLLER	ALBUQUERQUE	NM	JT8VK13T0P0	20000101	20000101		1	I BELIEVE THE SECURITY SYSTEM AND IGNITION FAILED BECAUSE OF A Y2K FAILURE.  THE CAR WILL NOT START WAS WORKING PROPERLY AT LEAST 4 HOURS PRIOR TO TRYING TO START AFTER 1200 MIDNIGHT ON THE 1 JAN 2000.  *AK	IVOQ	N	19921101	N	Y	Y		FWD	F	GS																V			NHTSA				
198017	716716	GENERAL MOTORS LLC	CHEVROLET	TAHOE	1997		20000101	N	0	0	STEERING:HYDRAULIC POWER ASSIST SYSTEM	CONYERS	GA	1GNEC13R3VJ	20000101	20000101		10	PROBLEM WITH STEERING..MOMENTARY LOSS OF STEERING,SEEMS TO SLIP THEN CATCH.SERVICE DEPT ADVISED KNOWN PROBLEM WITH SPEED SENSOR.NO FACTORY RECALL.COST $250.00 TO REPLACE. *AK	IVOQ	N	19980601	N	Y	Y		RWD	F	GS		45														V			NHTSA				
198029	716709	GENERAL MOTORS LLC	SATURN	SL	1996		20000101	N			POWER TRAIN	WINDSOR LOCKS	CT	1G8ZJ5278TZ	20000101	20000101			SUSPECTED ODOMETER ROLL BACK	IVOQ	N	19980501	N	N	N		FWD		GS																V			NHTSA				
198035	716745	FORD MOTOR COMPANY	FORD	EXPLORER	1999		20000102	N			EXTERIOR LIGHTING:HEADLIGHTS	MAPLE GROVE	MN		20000102	20000102			RUNNING LIGHTS ARE BEING USED IN THE EVENING AND ARE TOO BRIGHT FOR ONCOMING TRAFFIC.  FORD EXPLORER IS JUST ONE EXAMPLE.  PONTIAC CARS ARE JUST AS BAD.  THIS IS NOT ONLY A NUSANCE, IT IS A POTENTIAL HAZZARD BECAUSE IT BLINDS ONCOMING DRIVERS.  HOW CAN LA	IVOQ	N		Y	Y	Y		FWD		GS																V			NHTSA				
198042	716759	FORD MOTOR COMPANY	FORD	F-150	1997		20000101	N	0	0	LATCHES/LOCKS/LINKAGES:DOORS:LATCH	REDLANDS	CA	1FTDX0761VK	20000102	20000102		1	THIS IS ONLY TO ALERT YOU TO MY PROBLEM AND THE PROBLEM OF THE MANY OTHERS I HAVE CAME ACROSS SEARCHING FOR BACKGROUND AS TO WHY MY DRIVERS DOOR LATCHES NO LONGER WORKS ON MY TRUCK. THIS HAS GOT TO BE OF SOME SAFTY CONCERN TO SOMEONE OTHER THAN ME I HOPE.  *AK	IVOQ	N	19970701	Y	N	Y		RWD	F	GS		5														V			NHTSA				
198052	716755	CHRYSLER GROUP LLC	CHRYSLER	CONCORDE	1995		20000102	N			SUSPENSION:FRONT:CONTROL ARM:LOWER ARM	BELTON	MO	1C3HD56T7SF	20000102	20000102			PROBLEM: LOWER CONTROL ARM BRACKET SEPARATES FROM ENGINE CRADLE, CAUSING HALF-SHAFT TO PULL OUT OF TRANSAXLE. FIX: REINFORCE ENGINE CRADLE AT CONTROL ARM BRACKET.. VEHICLE OWNERS WERE SUPPOSED  TO BE NOTIFIED IN DEC. OF 1999.  I WAS NOT NOTIFIED. I FOUND THIS IN MICHIGAN BUSINESS BRIEFS. SEPT. 18 , 1999. I WOULD LIKE TO SEE SOME ACTION ON  THIS, BECAUSE I WANT TO KEEP THIS CAR A WHILE LONGER. THANK YOU.  *AK	IVOQ	N	19960801	N	Y	Y		FWD		GS																V			NHTSA				
198053	716740	GENERAL MOTORS LLC	CHEVROLET	VENTURE	1999		20000102	N			VEHICLE SPEED CONTROL:CRUISE CONTROL	MORRISTOWN	NJ	1GNDU06E2XD	20000102	20000102			DEALER NOTIFIED AND CLAIMED THE IDLE HAD TO BE SET THAT WAY TO MEET ENVIRONMENTAL REQUIREMENTS AND COULD NOT BE FIXED.  *AK	IVOQ	N	19990701	Y	N	N		FWD		GS																V			NHTSA				
198055	716763	DAIMLERCHRYSLER CORPORATION	JEEP	CHEROKEE	1993		20000102	N			STRUCTURE:BODY:DOOR:HINGE AND ATTACHMENTS	KLAMATH FALLS	OR	1J4FJ68SXPL	20000102	20000102			MY JEEP'S DOORS ARE FALLING OFF IN THE FRONT AT THE HINGES.  THE WELDS THAT HOLD THE HINGES TO THE FRAME ARE CRACKING.   AS FOR THE SUSPENSION SYSTEM IT SOMETIMES CLUNKS WHEN I GO OVER A BUMP OR TURN A CORNER.  I HAVE HAD IT LOOKED AT BUT THEY CAN NOT FIND WHAT IS WRONG WITH IT.  THE STARTING PROBLEM IS NOT ALL THE TIME MOST OF THE TIME IT STARTS RIGHT UP,  BUT SOMETIMES IT WON'T START.  I TRY IT TWO OR THREE TIMES AND THEN IT STARTS.  I HAVE HAD THE STARTER REPLACED AND IT STILL DOES IT.  *AK	IVOQ	N	19990501	N	N	Y		4WD	F	GS																V			NHTSA				
198056	716764	GENERAL MOTORS CORP.	GMC	SIERRA	1997		20000102	N			SERVICE BRAKES, HYDRAULIC:ANTILOCK	BEMIDJI	MN	1GTHC33J2VF	20000102	20000102			I HAVE 5# OF PAPER WORK ON THIS ONE,HAD TROUBLE WITH THIE STEERING GEAR BOX AT 1150 MILES, HAD ROCKER AND LIFTERS DONE AT 4407 MILES, AGAIN AT 6344 MILES, BRAKES AGAIN AT 15986 MILES,24116 DRIVE SHAFT OUT OF BALANCE, I'M STILL HAVEING TROUBLE WITH THE BRAKES SOME TIMES IT IS LIKE ON BRAKE AND SOME TIMES IT'S LIKE THEY LOCK UP THE BACK WHEELS AT THE SPEED OF 5MPH ON DRY PAVEMENT OR WHAT EVER SURFES, OR AT THE STOP SIGN WHILE HOLDING THE BRAKE,YOU CAN HERE THE ABS. I HAVE TRYED DEALING WITH BBB, AND GMC PUT GOT NO WHERE, I WROTE TO THE ATT GEN'S OF BOTH MN AND TX, BUT GOT NO WHERE.I HAVE ALL THE PAPER WORK FROM DAY ONE, I"M PAYING OVER 40.000.00 FOR THIS.  *AK	IVOQ	N	19970601	Y	Y	Y		RWD		GS																V			NHTSA				
198057	716764	GENERAL MOTORS CORP.	GMC	SIERRA	1997		20000102	N			STEERING:GEAR BOX (OTHER THAN RACK AND PINION)	BEMIDJI	MN	1GTHC33J2VF	20000102	20000102			I HAVE 5# OF PAPER WORK ON THIS ONE,HAD TROUBLE WITH THIE STEERING GEAR BOX AT 1150 MILES, HAD ROCKER AND LIFTERS DONE AT 4407 MILES, AGAIN AT 6344 MILES, BRAKES AGAIN AT 15986 MILES,24116 DRIVE SHAFT OUT OF BALANCE, I'M STILL HAVEING TROUBLE WITH THE BRAKES SOME TIMES IT IS LIKE ON BRAKE AND SOME TIMES IT'S LIKE THEY LOCK UP THE BACK WHEELS AT THE SPEED OF 5MPH ON DRY PAVEMENT OR WHAT EVER SURFES, OR AT THE STOP SIGN WHILE HOLDING THE BRAKE,YOU CAN HERE THE ABS. I HAVE TRYED DEALING WITH BBB, AND GMC PUT GOT NO WHERE, I WROTE TO THE ATT GEN'S OF BOTH MN AND TX, BUT GOT NO WHERE.I HAVE ALL THE PAPER WORK FROM DAY ONE, I"M PAYING OVER 40.000.00 FOR THIS.  *AK	IVOQ	N	19970601	Y	Y	Y		RWD		GS																V			NHTSA				
198058	716764	GENERAL MOTORS CORP.	GMC	SIERRA	1997		20000102	N			ENGINE AND ENGINE COOLING:ENGINE	BEMIDJI	MN	1GTHC33J2VF	20000102	20000102			I HAVE 5# OF PAPER WORK ON THIS ONE,HAD TROUBLE WITH THIE STEERING GEAR BOX AT 1150 MILES, HAD ROCKER AND LIFTERS DONE AT 4407 MILES, AGAIN AT 6344 MILES, BRAKES AGAIN AT 15986 MILES,24116 DRIVE SHAFT OUT OF BALANCE, I'M STILL HAVEING TROUBLE WITH THE BRAKES SOME TIMES IT IS LIKE ON BRAKE AND SOME TIMES IT'S LIKE THEY LOCK UP THE BACK WHEELS AT THE SPEED OF 5MPH ON DRY PAVEMENT OR WHAT EVER SURFES, OR AT THE STOP SIGN WHILE HOLDING THE BRAKE,YOU CAN HERE THE ABS. I HAVE TRYED DEALING WITH BBB, AND GMC PUT GOT NO WHERE, I WROTE TO THE ATT GEN'S OF BOTH MN AND TX, BUT GOT NO WHERE.I HAVE ALL THE PAPER WORK FROM DAY ONE, I"M PAYING OVER 40.000.00 FOR THIS.  *AK	IVOQ	N	19970601	Y	Y	Y		RWD		GS																V			NHTSA				
198065	716763	DAIMLERCHRYSLER CORPORATION	JEEP	CHEROKEE	1993		20000102	N			SUSPENSION	KLAMATH FALLS	OR	1J4FJ68SXPL	20000102	20000102			MY JEEP'S DOORS ARE FALLING OFF IN THE FRONT AT THE HINGES.  THE WELDS THAT HOLD THE HINGES TO THE FRAME ARE CRACKING.   AS FOR THE SUSPENSION SYSTEM IT SOMETIMES CLUNKS WHEN I GO OVER A BUMP OR TURN A CORNER.  I HAVE HAD IT LOOKED AT BUT THEY CAN NOT FIND WHAT IS WRONG WITH IT.  THE STARTING PROBLEM IS NOT ALL THE TIME MOST OF THE TIME IT STARTS RIGHT UP,  BUT SOMETIMES IT WON'T START.  I TRY IT TWO OR THREE TIMES AND THEN IT STARTS.  I HAVE HAD THE STARTER REPLACED AND IT STILL DOES IT.  *AK	IVOQ	N	19990501	N	N	Y		4WD	F	GS																V			NHTSA				
198066	716763	DAIMLERCHRYSLER CORPORATION	JEEP	CHEROKEE	1993		20000102	N			ELECTRICAL SYSTEM:IGNITION	KLAMATH FALLS	OR	1J4FJ68SXPL	20000102	20000102			MY JEEP'S DOORS ARE FALLING OFF IN THE FRONT AT THE HINGES.  THE WELDS THAT HOLD THE HINGES TO THE FRAME ARE CRACKING.   AS FOR THE SUSPENSION SYSTEM IT SOMETIMES CLUNKS WHEN I GO OVER A BUMP OR TURN A CORNER.  I HAVE HAD IT LOOKED AT BUT THEY CAN NOT FIND WHAT IS WRONG WITH IT.  THE STARTING PROBLEM IS NOT ALL THE TIME MOST OF THE TIME IT STARTS RIGHT UP,  BUT SOMETIMES IT WON'T START.  I TRY IT TWO OR THREE TIMES AND THEN IT STARTS.  I HAVE HAD THE STARTER REPLACED AND IT STILL DOES IT.  *AK	IVOQ	N	19990501	N	N	Y		4WD	F	GS																V			NHTSA				
198069	716757	TOYOTA MOTOR NORTH AMERICA, INC.	TOYOTA	CAMRY	1989		20000102	N			EXTERIOR LIGHTING:HEADLIGHTS	WALLA WALLA	WA	JT2SV21E4K3	20000102	20000102		100	THR DASH LIGHTS AND HIGH BEAM ON THE HEADLIGHTS WILL NOT WORK, THE DOOR LOCK ON THE DRIVERS SIDE WILL NOT WORK, THE SHOULDER BELT ON THE DRIVERS SIDE WILL NOT WORK, AND THE LIGHTS ON THE SIDE OF THE HEADLIGHTS WILL NOT WORK, IT HAS BEEN THAT WAY SINCE THE CAR WAS AT 64000 MILES AND ITS THAT WAY BEFORE YOU EVEN START THE CAR MOVING,WHILE THE CAR IS MOVING, AND AT AT STOPLIGHTS ANY TIME THE IGNITION IS TURNED ON!! W WERE NOTIFIED OF A RECALL ABOUT THE LOCKS AND SATBELTS BUT IT NEVER WENT AWAY AFTER WE TOOK IT TO ABAJIANS FOR REPAIR!!  *AK	IVOQ	N	19940501	N	N	Y		FWD	F	GS		5														V			NHTSA				
198071	716757	TOYOTA MOTOR NORTH AMERICA, INC.	TOYOTA	CAMRY	1989		20000102	N			INTERIOR LIGHTING	WALLA WALLA	WA	JT2SV21E4K3	20000102	20000102		100	THR DASH LIGHTS AND HIGH BEAM ON THE HEADLIGHTS WILL NOT WORK, THE DOOR LOCK ON THE DRIVERS SIDE WILL NOT WORK, THE SHOULDER BELT ON THE DRIVERS SIDE WILL NOT WORK, AND THE LIGHTS ON THE SIDE OF THE HEADLIGHTS WILL NOT WORK, IT HAS BEEN THAT WAY SINCE THE CAR WAS AT 64000 MILES AND ITS THAT WAY BEFORE YOU EVEN START THE CAR MOVING,WHILE THE CAR IS MOVING, AND AT AT STOPLIGHTS ANY TIME THE IGNITION IS TURNED ON!! W WERE NOTIFIED OF A RECALL ABOUT THE LOCKS AND SATBELTS BUT IT NEVER WENT AWAY AFTER WE TOOK IT TO ABAJIANS FOR REPAIR!!  *AK	IVOQ	N	19940501	N	N	Y		FWD	F	GS		5														V			NHTSA				
